Reef_id,site_id,site_name,site_latitude,site_longitude,survey_start_date,Year,survey_depth,transect_id,type,GROUP,COUNT,TOTAL
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2015-11-30T14:00:00Z,2015,9,36194,point_human_classification,HC,11,40
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2015-11-30T14:00:00Z,2015,9,36194,point_machine_classification,HC,12,40
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2015-11-30T14:00:00Z,2015,9,36195,point_human_classification,HC,4,35
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2015-11-30T14:00:00Z,2015,9,36195,point_machine_classification,HC,5,35
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2016-09-10T14:00:00Z,2016,9,36191,point_human_classification,HC,4,55
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2016-09-10T14:00:00Z,2016,9,36191,point_machine_classification,HC,5,55
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2016-09-10T14:00:00Z,2016,9,36192,point_human_classification,HC,3,50
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2016-09-10T14:00:00Z,2016,9,36192,point_machine_classification,HC,5,50
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2016-09-10T14:00:00Z,2016,9,36193,point_human_classification,HC,5,50
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2016-09-10T14:00:00Z,2016,9,36193,point_machine_classification,HC,9,50
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2016-09-10T14:00:00Z,2016,9,36194,point_human_classification,HC,6,40
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2016-09-10T14:00:00Z,2016,9,36194,point_machine_classification,HC,5,40
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2016-09-10T14:00:00Z,2016,9,36195,point_human_classification,HC,5,50
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2016-09-10T14:00:00Z,2016,9,36195,point_machine_classification,HC,2,50
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2017-12-15T14:00:00Z,2017,9,36191,point_human_classification,HC,7,60
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2017-12-15T14:00:00Z,2017,9,36191,point_machine_classification,HC,7,60
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2017-12-15T14:00:00Z,2017,9,36192,point_human_classification,HC,5,45
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2017-12-15T14:00:00Z,2017,9,36192,point_machine_classification,HC,4,45
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2017-12-15T14:00:00Z,2017,9,36193,point_human_classification,HC,10,55
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2017-12-15T14:00:00Z,2017,9,36193,point_machine_classification,HC,10,55
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2017-12-15T14:00:00Z,2017,9,36194,point_human_classification,HC,8,45
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2017-12-15T14:00:00Z,2017,9,36194,point_machine_classification,HC,8,45
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2017-12-15T14:00:00Z,2017,9,36195,point_human_classification,HC,7,55
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2017-12-15T14:00:00Z,2017,9,36195,point_machine_classification,HC,6,55
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2019-02-17T14:00:00Z,2019,9,36191,point_human_classification,HC,13,65
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2019-02-17T14:00:00Z,2019,9,36191,point_machine_classification,HC,10,65
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2019-02-17T14:00:00Z,2019,9,36192,point_human_classification,HC,11,55
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2019-02-17T14:00:00Z,2019,9,36192,point_machine_classification,HC,13,55
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2019-02-17T14:00:00Z,2019,9,36193,point_human_classification,HC,10,50
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2019-02-17T14:00:00Z,2019,9,36193,point_machine_classification,HC,15,50
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2019-02-17T14:00:00Z,2019,9,36194,point_human_classification,HC,20,70
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2019-02-17T14:00:00Z,2019,9,36194,point_machine_classification,HC,21,70
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2019-02-17T14:00:00Z,2019,9,36195,point_human_classification,HC,9,45
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2019-02-17T14:00:00Z,2019,9,36195,point_machine_classification,HC,6,45
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2020-02-08T14:00:00Z,2020,9,36191,point_human_classification,HC,10,55
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2020-02-08T14:00:00Z,2020,9,36191,point_machine_classification,HC,11,55
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2020-02-08T14:00:00Z,2020,9,36192,point_human_classification,HC,0,50
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2020-02-08T14:00:00Z,2020,9,36192,point_machine_classification,HC,8,50
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2020-02-08T14:00:00Z,2020,9,36193,point_human_classification,HC,11,60
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2020-02-08T14:00:00Z,2020,9,36193,point_machine_classification,HC,13,60
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2020-02-08T14:00:00Z,2020,9,36194,point_human_classification,HC,18,50
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2020-02-08T14:00:00Z,2020,9,36194,point_machine_classification,HC,16,50
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2020-02-08T14:00:00Z,2020,9,36195,point_human_classification,HC,16,50
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2020-02-08T14:00:00Z,2020,9,36195,point_machine_classification,HC,17,50
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2020-11-06T00:00:00Z,2020,7,36171,point_human_classification,HC,27,100
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2020-11-06T00:00:00Z,2020,7,36171,point_machine_classification,HC,31,100
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2020-11-06T00:00:00Z,2020,7,36172,point_human_classification,HC,38,185
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2020-11-06T00:00:00Z,2020,7,36172,point_machine_classification,HC,23,185
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2020-11-06T00:00:00Z,2020,7,36174,point_human_classification,HC,32,95
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2020-11-06T00:00:00Z,2020,7,36174,point_machine_classification,HC,38,95
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2020-11-06T00:00:00Z,2020,7,36175,point_human_classification,HC,34,90
Agincourt Reef No.1,361,Agincourt Reef No.1 Site 2,-16.04,145.87,2020-11-06T00:00:00Z,2020,7,36175,point_machine_classification,HC,27,90
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2015-03-04T14:00:00Z,2015,9,36291,point_human_classification,HC,9,45
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2015-03-04T14:00:00Z,2015,9,36291,point_machine_classification,HC,9,45
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2015-03-04T14:00:00Z,2015,9,36292,point_human_classification,HC,14,55
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2015-03-04T14:00:00Z,2015,9,36292,point_machine_classification,HC,10,55
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2015-03-04T14:00:00Z,2015,9,36293,point_human_classification,HC,11,60
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2015-03-04T14:00:00Z,2015,9,36293,point_machine_classification,HC,11,60
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2015-03-04T14:00:00Z,2015,9,36294,point_human_classification,HC,9,50
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2015-03-04T14:00:00Z,2015,9,36294,point_machine_classification,HC,9,50
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2015-03-04T14:00:00Z,2015,9,36295,point_human_classification,HC,7,45
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2015-03-04T14:00:00Z,2015,9,36295,point_machine_classification,HC,12,45
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2015-12-01T14:00:00Z,2015,9,36291,point_human_classification,HC,12,65
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2015-12-01T14:00:00Z,2015,9,36291,point_machine_classification,HC,11,65
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2015-12-01T14:00:00Z,2015,9,36292,point_human_classification,HC,10,45
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2015-12-01T14:00:00Z,2015,9,36292,point_machine_classification,HC,10,45
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2015-12-01T14:00:00Z,2015,9,36293,point_human_classification,HC,15,50
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2015-12-01T14:00:00Z,2015,9,36293,point_machine_classification,HC,12,50
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2015-12-01T14:00:00Z,2015,9,36294,point_human_classification,HC,14,40
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2015-12-01T14:00:00Z,2015,9,36294,point_machine_classification,HC,11,40
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2015-12-01T14:00:00Z,2015,9,36295,point_human_classification,HC,13,55
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2015-12-01T14:00:00Z,2015,9,36295,point_machine_classification,HC,12,55
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2016-09-10T14:00:00Z,2016,9,36291,point_human_classification,HC,7,40
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2016-09-10T14:00:00Z,2016,9,36291,point_machine_classification,HC,6,40
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2016-09-10T14:00:00Z,2016,9,36292,point_human_classification,HC,11,50
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2016-09-10T14:00:00Z,2016,9,36292,point_machine_classification,HC,12,50
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2016-09-10T14:00:00Z,2016,9,36293,point_human_classification,HC,5,50
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2016-09-10T14:00:00Z,2016,9,36293,point_machine_classification,HC,4,50
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2016-09-10T14:00:00Z,2016,9,36294,point_human_classification,HC,6,55
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2016-09-10T14:00:00Z,2016,9,36294,point_machine_classification,HC,5,55
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2016-09-10T14:00:00Z,2016,9,36295,point_human_classification,HC,10,55
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2016-09-10T14:00:00Z,2016,9,36295,point_machine_classification,HC,11,55
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2017-12-15T14:00:00Z,2017,9,36291,point_human_classification,HC,6,65
Agincourt Reef No.1,362,Agincourt Reef No.1 Site 3,-16.05,145.87,2017-12-15T14:00:00Z,2017,9,36291,point_machine_classification,HC,5,65
